nama_lokasi,latitude,longitude
KM-262,-3.66766,103.8335
KM-264,-3.67602,103.8661
KM-265,-3.66713,103.8169
KM-267,-3.66701,103.8406
KM-268,-3.66758,103.8323
KM-269,-3.6678,103.817
KM-270,-3.68085,103.8796
KM-273,-3.67485,103.8653
KM-274,-3.68098,103.8795
KM-276,-3.67118,103.8587
KM-281,-3.67746,103.873
KM-284,-3.67511,103.868
KM-288,-3.67047,103.8582
KM-289,-3.66637,103.8451
KM-290,-3.68035,103.8778
KM-292,-3.67852,103.8754
KM-293,-3.66748,103.834
KM-294,-3.66669,103.8399
KM-298,-3.68272,103.881
KM-299,-3.66718,103.8455
KM-300,-3.66932,103.8594
KM-301,-3.67912,103.8764
KM-306,-3.66774,103.8484
KM-308,-3.67885,103.8773
KM-316,-3.66619,103.8423
KM-317,-3.66722,103.8483
KM-322,-3.6835,103.8822
KM-326,-3.6671,103.8469
KM-327,-3.68721,103.8856
KM-330,-3.68123,103.8771
KM-336,-3.68122,103.8771
KM-370,-3.68074,103.8777
KM-405,-3.67956,103.8754
KM-418,-3.68511,103.8824
KM-426,-3.68185,103.877
KM-444,-3.66847,103.8559
KM-500,-3.68145,103.879
KM-501,-3.67946,103.8743
KM-502,-3.667,103.8478
KM-503,-3.66917,103.838
KM-504,-3.66621,103.8573
KM-505,-3.6675,103.8559
KM-506,-3.66863,103.8586
KM-507A,-3.66918,103.852
KM-508,-3.69528,103.9009
KM-509,-3.66725,103.8516
KM-510,-3.66929,103.85
KM-510A,-3.66911,103.8505
KM-511,-3.67037,103.8511
KM-512,-3.6667,103.8545
KM-513,-3.66918,103.8488
KM-513A,-3.66833,103.8503
KM-514,-3.66599,103.8552
KM-516,-3.66795,103.8517
KM-517,-3.66757,103.8598
KM-518,-3.66959,103.8513
KM-519,-3.67149,103.8524
KM-520,-3.67051,103.8493
KM-521,-3.66812,103.8542
KM-522,-3.66771,103.8545
KM-523,-3.6686,103.8557
KM-524,-3.67049,103.8554
KM-525,-3.66872,103.8397
KM-526,-3.66626,103.8183
KM-527,-3.67181,103.8579
KM-528,-3.67278,103.8601
KM-529,-3.66705,103.8524
KM-530,-3.67155,103.8545
KM-531,-3.66714,103.8499
KM-532,-3.66922,103.8304
KM-532A,-3.66849,103.8299
KM-533,-3.66898,103.8243
KM-534,-3.68206,103.8243
KM-600,-3.66818,103.8495
KM-601,-3.66798,103.851
KM-602,90.0,0.0
KM-603,-3.66732,103.8453
KM-604,-3.66774,103.8524
KM-606,90.0,0.0
KM-607,-3.67049,103.8578
KM-610,-3.67012,103.8537
KM-611,-3.669,103.8534
KM-612,-3.67106,103.8591
KRG-001,-3.51559,104.2676
KRG-003,-3.52108,104.2794
KRG-004,-3.52592,104.2845
KRG-005,-3.51945,104.2694
KRG-006,-3.51901,104.2652
KRG-007,-3.52276,104.2666
KRG-008,-3.51587,104.2684
KRG-009,-3.53267,104.2991
KRG-010,-3.53662,104.3081
KRG-011,-3.51633,104.2718
KRG-012,-3.5307,104.3113
KRG-013,-3.52642,104.2994
KRG-014,-3.53661,104.3029
KRG-015,-3.53657,104.3029
KRG-016,-3.53652,104.303
KRG-017,-3.52604,104.2845
KRG-018,-3.53056,104.3112
KRG-019,-3.52654,104.2994
KRG-020,-3.54002,104.2934
KRG-021,-3.53827,104.3057
KRG-022,-3.53033,104.3024
KRG-023,-3.5261,104.2843
KRG-024,-3.5138,104.2868
KRG-025,-3.50761,104.2853
KRG-026,-3.51445,104.2703
KRG-027,-3.50159,104.2787
KRG-028,-3.52073,104.2673
KRG-029,-3.53743,104.3035
KRG-030,-3.52647,104.2996
KRG-031,-3.51583,104.2681
KRG-INT3,-3.49322,104.2877
KRG-PB3,-3.52639,104.2994
KRG-PH1,-3.50158,104.2788
KRG-PK1,-3.52269,104.2668
KRG-PN1,-3.51311,104.2869
L5A-001,-3.48308,104.0678
L5A-002,-3.48264,104.0587
L5A-003,-3.48525,104.0643
L5A-004,-3.47844,104.068
L5A-005,-3.47392,104.068
L5A-006,-3.47955,104.0532
L5A-007,-3.48183,104.0889
L5A-008,-3.47857,104.0851
L5A-009,-3.48375,104.0952
L5A-010,-3.48963,104.1037
L5A-011,-3.48295,104.1006
L5A-012,-3.48652,104.1338
L5A-013,-3.48254,104.1475
L5A-014,-3.48587,104.1134
L5A-015,-3.49843,104.1288
L5A-016,-3.50435,104.122
L5A-017,-3.48008,104.0989
L5A-018,-3.48827,104.0684
L5A-019,-3.48346,104.1426
L5A-020,-3.50304,104.1267
L5A-021,-3.47786,104.1038
L5A-022,-3.5128,104.2126
L5A-023,-3.48362,104.1389
L5A-024,-3.49291,104.1285
L5A-025,-3.47731,104.0568
L5A-026,-3.48853,104.2155
L5A-027,-3.4679,104.034
L5A-028,-3.50951,104.217
L5A-029,-3.52369,104.2253
L5A-030,-3.48448,104.2255
L5A-031,-3.49299,104.1764
L5A-032,-3.49482,104.2143
L5A-033,-3.46004,104.0318
L5A-034,-3.48922,104.0969
L5A-035,-3.46818,104.0283
L5A-036,-3.50569,104.2213
L5A-037,-3.50075,104.1369
L5A-038,-3.50569,104.2213
L5A-039,-3.50715,104.2119
L5A-040,-3.514,104.2178
L5A-041,-3.49869,104.1744
L5A-042,-3.51664,104.2087
L5A-043,-3.51611,104.2238
L5A-044,-3.48574,104.1
L5A-045,-3.51051,104.2076
